tag_id,ip_address,hostname,mac_address,device_type,manufacturer,model,is_managed,has_security_patches,encryption_enabled,authentication_required,firewall_protected,access_control,vulnerabilities,cve_count,last_seen,confidence_level
,192.168.10.10,PLC-CDU-001,00:1A:2B:3C:4D:01,PLC,Siemens,S7-1500,true,false,false,true,true,Role-Based,5,2,2024-11-05,100
,192.168.10.20,HMI-CDU-001,00:1A:2B:3C:4D:03,HMI,Siemens,WinCC,true,false,false,false,true,None,8,3,2024-10-15,95
,192.168.10.50,VFD-CDU-P001,00:1A:2B:3C:4D:06,VFD,ABB,ACS880,false,false,false,false,false,None,3,1,2024-11-05,95
,192.168.11.10,PLC-FCC-001,00:1A:2B:3C:4D:07,PLC,Allen Bradley,ControlLogix,true,false,false,true,true,Role-Based,12,5,2024-11-05,100
,192.168.11.20,HMI-FCC-001,00:1A:2B:3C:4D:09,HMI,Rockwell,FactoryTalk,true,false,false,false,false,None,6,2,2024-10-20,95
,192.168.11.200,SIS-FCC-001,00:1A:2B:3C:4D:10,Safety_System,Honeywell,FSC,true,true,false,true,true,Restricted,0,0,2024-11-05,100
,192.168.12.10,PLC-HCU-001,00:1A:2B:3C:4D:12,PLC,Siemens,S7-400,true,false,false,true,true,Role-Based,7,3,2024-11-05,100
,192.168.50.100,UNKNOWN-DEVICE,00:1A:2B:3C:4D:99,Unknown,Unknown,Unknown,false,false,false,false,false,None,0,0,2024-11-05,60
,192.168.50.101,UNKNOWN-DEVICE2,00:1A:2B:3C:4D:98,Unknown,Unknown,Unknown,false,false,false,false,false,None,0,0,2024-11-05,55

